Column_Name,Data_Types,Missing_Count
Year,int64,0
Quarter,int64,0
Month,int64,0
DayofMonth,int64,0
DayOfWeek,int64,0
FlightDate,str,0
Reporting_Airline,str,0
DOT_ID_Reporting_Airline,int64,0
IATA_CODE_Reporting_Airline,str,0
Tail_Number,str,5293
Flight_Number_Reporting_Airline,int64,0
OriginAirportID,int64,0
OriginAirportSeqID,int64,0
OriginCityMarketID,int64,0
Origin,str,0
OriginCityName,str,0
OriginState,str,0
OriginStateFips,int64,0
OriginStateName,str,0
OriginWac,int64,0
DestAirportID,int64,0
DestAirportSeqID,int64,0
DestCityMarketID,int64,0
Dest,str,0
DestCityName,str,0
DestState,str,0
DestStateFips,int64,0
DestStateName,str,0
DestWac,int64,0
CRSDepTime,int64,0
DepTime,float64,19784
DepDelay,float64,19858
DepDelayMinutes,float64,19858
DepDel15,float64,19858
DepartureDelayGroups,float64,19858
DepTimeBlk,str,0
TaxiOut,float64,20257
WheelsOff,float64,20257
WheelsOn,float64,20634
TaxiIn,float64,20634
CRSArrTime,int64,0
ArrTime,float64,20633
ArrDelay,float64,21901
ArrDelayMinutes,float64,21901
ArrDel15,float64,21901
ArrivalDelayGroups,float64,21901
ArrTimeBlk,str,0
Cancelled,float64,0
CancellationCode,str,526882
Diverted,float64,0
CRSElapsedTime,float64,0
ActualElapsedTime,float64,21901
AirTime,float64,21901
Flights,float64,0
Distance,float64,0
DistanceGroup,int64,0
CarrierDelay,float64,420861
WeatherDelay,float64,420861
NASDelay,float64,420861
SecurityDelay,float64,420861
LateAircraftDelay,float64,420861
FirstDepTime,float64,542543
TotalAddGTime,float64,542543
LongestAddGTime,float64,542543
DivAirportLandings,int64,0
DivReachedDest,float64,545759
DivActualElapsedTime,float64,546003
DivArrDelay,float64,546003
DivDistance,float64,545759
Div1Airport,str,545627
Div1AirportID,float64,545627
Div1AirportSeqID,float64,545627
Div1WheelsOn,float64,545627
Div1TotalGTime,float64,545627
Div1LongestGTime,float64,545627
Div1WheelsOff,float64,545985
Div1TailNum,str,545985
Div2Airport,str,547233
Div2AirportID,float64,547233
Div2AirportSeqID,float64,547233
Div2WheelsOn,float64,547233
Div2TotalGTime,float64,547233
Div2LongestGTime,float64,547233
Div2WheelsOff,float64,547250
Div2TailNum,str,547250
Div3Airport,str,547270
Div3AirportID,float64,547270
Div3AirportSeqID,float64,547270
Div3WheelsOn,float64,547270
Div3TotalGTime,float64,547270
Div3LongestGTime,float64,547270
Div3WheelsOff,float64,547270
Div3TailNum,str,547270
Div4Airport,float64,547271
Div4AirportID,float64,547271
Div4AirportSeqID,float64,547271
Div4WheelsOn,float64,547271
Div4TotalGTime,float64,547271
Div4LongestGTime,float64,547271
Div4WheelsOff,float64,547271
Div4TailNum,float64,547271
Div5Airport,float64,547271
Div5AirportID,float64,547271
Div5AirportSeqID,float64,547271
Div5WheelsOn,float64,547271
Div5TotalGTime,float64,547271
Div5LongestGTime,float64,547271
Div5WheelsOff,float64,547271
Div5TailNum,float64,547271
Unnamed: 109,float64,547271
